plan_id,carrier,plan_name,state,snp_type,sample_zip,food_card_amount,frequency,notes,who_qualifies,current_db_status
H1036-308,Humana,Humana Gold Plus - Diabetes and Heart (HMO C-SNP),NC,C-SNP,27601,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5253-186,UnitedHealthcare,UHC Complete Care NC-25 (HMO-POS C-SNP),NC,C-SNP,28801,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H5253-188,UnitedHealthcare,UHC Complete Care NC-27 (HMO-POS C-SNP),NC,C-SNP,28401,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H5253-189,UnitedHealthcare,UHC Complete Care NC-28 (HMO-POS C-SNP),NC,C-SNP,27601,,,,,"[manual] copay=0 · ""Combined with OTC card above"""
H5652-004,UnitedHealthcare,Erickson Advantage Champion (HMO-POS C-SNP),NC,C-SNP,28202,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H3146-002,Aetna Medicare,Aetna Medicare Dual (HMO D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H3146-022,Aetna Medicare,Aetna Medicare Full Dual Care (HMO D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H5296-004,Alignment Health Plan,Alignment Health NC Duals (HMO-POS D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H8212-001,AmeriHealth Caritas VIP Care,AmeriHealth Caritas VIP Care (HMO D-SNP),NC,D-SNP,28801,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H9147-001,Blue Cross and Blue Shield of North Carolina,Healthy Blue + Medicare (HMO-POS D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H5299-013,Devoted Health,DEVOTED DUAL FULL 013 NC (HMO D-SNP),NC,D-SNP,28202,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H1036-167,Humana,Humana Gold Plus SNP-DE H1036-167 (HMO D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H1036-307,Humana,Humana Dual Select H1036-307 (HMO D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4676-002,Troy Medicare,Troy Medicare for Dual-eligible Beneficiaries (HMO D-SNP),NC,D-SNP,28301,,,,,"[medicare_gov] copay=0 · ""$60 per month ($720/yr)"""
H1889-005,UnitedHealthcare,UHC Dual Complete NC-S001 (PPO D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H1889-034,UnitedHealthcare,UHC Dual Complete NC-S2 (PPO D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H1914-008,Wellcare,Wellcare Dual Liberty Open (PPO D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4073-002,Wellcare,Wellcare Dual Access (HMO-POS D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4073-003,Wellcare,Wellcare Dual Reserve (HMO-POS D-SNP),NC,D-SNP,27601,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4523-037,Aetna Medicare,Aetna Medicare Prime Chronic Care (HMO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4523-038,Aetna Medicare,Aetna Medicare Prime Chronic Care (HMO C-SNP),TX,C-SNP,78205,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4523-039,Aetna Medicare,Aetna Medicare Prime Chronic Total (HMO C-SNP),TX,C-SNP,75201,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5472-002,Alignment Health Plan,Alignment Health Heart & Diabetes (HMO-POS C-SNP),TX,C-SNP,79901,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H5472-004,Alignment Health Plan,Alignment Health Heart & Diabetes Plus (HMO-POS C-SNP),TX,C-SNP,79901,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H7993-023,Devoted Health,DEVOTED C-SNP PREMIUM 023 TX (HMO C-SNP),TX,C-SNP,78701,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-024,Devoted Health,DEVOTED C-SNP PLUS 024 TX (HMO C-SNP),TX,C-SNP,78701,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-027,Devoted Health,DEVOTED C-SNP 027 TX (HMO C-SNP),TX,C-SNP,79901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-028,Devoted Health,DEVOTED C-SNP PREMIUM 028 TX (HMO C-SNP),TX,C-SNP,79901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-029,Devoted Health,DEVOTED C-SNP PLUS 029 TX (HMO C-SNP),TX,C-SNP,79901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-030,Devoted Health,DEVOTED C-SNP PREMIUM 030 TX (HMO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-031,Devoted Health,DEVOTED C-SNP PLUS 031 TX (HMO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-033,Devoted Health,DEVOTED C-SNP PLUS 033 TX (HMO C-SNP),TX,C-SNP,78205,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-046,Devoted Health,DEVOTED C-SNP 046 TX (HMO C-SNP),TX,C-SNP,78205,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4513-098,HealthSpring,HealthSpring Achieve (HMO C-SNP),TX,C-SNP,78501,,,,,"[medicare_gov] copay=0 · ""$150 allowance"""
H0028-039,Humana,Humana Gold Plus - Diabetes and Heart (HMO C-SNP),TX,C-SNP,78205,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H0028-060,Humana,Humana Gold Plus - Diabetes and Heart (HMO C-SNP),TX,C-SNP,75201,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4461-066,Humana,Humana Gold Plus - Diabetes and Heart (HMO C-SNP),TX,C-SNP,78205,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4461-067,Humana,Humana Gold Plus - Diabetes and Heart (HMO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4461-068,Humana,Humana Gold Plus - Diabetes and Heart (HMO C-SNP),TX,C-SNP,78701,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H3467-002,ProCare Advantage,ProCare Advantage - Kidney Care (HMO-POS C-SNP),TX,C-SNP,75201,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H3467-005,ProCare Advantage,ProCare Advantage - Diabetes Care Management (HMO-POS C-SNP),TX,C-SNP,75201,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7680-015,Prominence Health Plan,Prominence Diabetes and Heart Giveback (HMO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H7680-016,Prominence Health Plan,Prominence Diabetes and Heart Care Plus (HMO C-SNP),TX,C-SNP,78501,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H7680-020,Prominence Health Plan,Prominence Diabetes and Heart Giveback (HMO C-SNP),TX,C-SNP,78501,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H8902-002,SCAN Health Plan,SCAN Balance Texas (HMO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H8902-009,SCAN Health Plan,SCAN Strive Texas (HMO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H0609-058,UnitedHealthcare,UHC Complete Care TX-24 (HMO-POS C-SNP),TX,C-SNP,78205,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H0609-062,UnitedHealthcare,UHC Complete Care TX-3P (HMO-POS C-SNP),TX,C-SNP,75201,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4514-015,UnitedHealthcare,UHC Complete Care TX-2P (HMO-POS C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4527-039,UnitedHealthcare,UHC Complete Care TX-16 (HMO-POS C-SNP),TX,C-SNP,78701,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4527-040,UnitedHealthcare,UHC Complete Care TX-17 (HMO-POS C-SNP),TX,C-SNP,79901,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4527-041,UnitedHealthcare,UHC Complete Care TX-18 (HMO-POS C-SNP),TX,C-SNP,78401,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4527-042,UnitedHealthcare,UHC Complete Care TX-19 (HMO-POS C-SNP),TX,C-SNP,78501,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
R6801-008,UnitedHealthcare,UHC Complete Care Support TX-1A (Regional PPO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
R6801-009,UnitedHealthcare,UHC Complete Care TX-29 (Regional PPO C-SNP),TX,C-SNP,77002,,,,,"NO food_card row → renders ""None"""
H5163-002,Verda Health Plan of Texas,Verda Noble Chronic Care (HMO C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""$75 per month ($900/yr)"""
H5163-004,Verda Health Plan of Texas,Verda Noble Chronic Care (HMO C-SNP),TX,C-SNP,75201,,,,,"[medicare_gov] copay=0 · ""$40 per month ($480/yr)"""
H2593-031,Wellpoint,Wellpoint Kidney Care (HMO-POS C-SNP),TX,C-SNP,78205,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H2593-043,Wellpoint,Wellpoint Kidney Care (HMO-POS C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""$50 per month ($600/yr)"""
H8849-001,Wellpoint,Wellpoint Chronic Care (HMO-POS C-SNP),TX,C-SNP,75201,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H8849-003,Wellpoint,Wellpoint Chronic Care (HMO-POS C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H8849-005,Wellpoint,Wellpoint Lung Care (HMO-POS C-SNP),TX,C-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4523-028,Aetna Medicare,Aetna Medicare Full Dual (HMO D-SNP),TX,D-SNP,78701,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
